,Year,Month,Area,Mean_temp,Mean_chla
112,2011,11,SP,22.564,0.991
113,2011,12,SP,24.866,0.824
114,2012,1,SP,26.086,0.927
115,2012,2,SP,27.185,1.224
116,2012,3,SP,25.49,1.214
117,2012,4,SP,25.169,1.11
118,2012,5,SP,23.783,1.783
119,2012,6,SP,22.193,2.823
120,2012,7,SP,21.096,2.785
121,2012,8,SP,21.283,1.6
122,2012,9,SP,21.702,1.296
123,2012,10,SP,23.656,1.017
124,2012,11,SP,23.831,0.976
125,2012,12,SP,26.621,0.608
126,2013,1,SP,26.402,0.89
127,2013,2,SP,27.936,0.965
128,2013,3,SP,26.803,1.074
129,2013,4,SP,24.84,1.341
130,2013,5,SP,24.046,1.314
131,2013,6,SP,22.467,1.457
132,2013,7,SP,20.594,2.674
133,2013,8,SP,19.377,2.082
134,2013,9,SP,21.005,1.633
135,2013,10,SP,22.31,1.039
136,2013,11,SP,22.811,1.418
137,2013,12,SP,26.233,1.218
138,2014,1,SP,29.175,1.403
139,2014,2,SP,27.945,2.21
140,2014,3,SP,27.066,1.829
141,2014,4,SP,25.954,1.874
142,2014,5,SP,23.745,1.754
143,2014,6,SP,22.166,2.517
144,2014,7,SP,21.575,1.885
145,2014,8,SP,21.469,1.64
146,2014,9,SP,22.146,1.211
147,2014,10,SP,23.336,0.912
148,2014,11,SP,24.501,0.668
149,2014,12,SP,25.75,0.8
150,2015,1,SP,29.235,0.848
151,2015,2,SP,28.57,1.317
152,2015,3,SP,27.421,1.808
153,2015,4,SP,25.429,1.502
154,2015,5,SP,23.735,1.66
155,2015,6,SP,22.957,1.971
156,2015,7,SP,21.626,1.764
157,2015,8,SP,21.934,1.284
158,2015,9,SP,22.693,1.506
159,2015,10,SP,23.177,1.003
160,2015,11,SP,24.976,0.794
161,2015,12,SP,26.581,1.166
162,2016,1,SP,26.042,1.969
163,2016,2,SP,28.56,1.515
164,2016,3,SP,27.771,1.615
165,2016,4,SP,27.811,1.455
166,2016,5,SP,22.865,1.408
167,2016,6,SP,18.617,3.048
168,2016,7,SP,19.941,4.043
169,2016,8,SP,20.462,3.217
170,2016,9,SP,21.662,1.694
171,2016,10,SP,23.343,1.447
172,2016,11,SP,24.215,1.123
173,2016,12,SP,25.869,0.905
174,2017,1,SP,28.698,1.125
175,2017,2,SP,28.25,1.653
176,2017,3,SP,26.199,1.596
177,2017,4,SP,25.17,1.41
178,2017,5,SP,23.013,1.593
179,2017,6,SP,22.153,2.002
180,2017,7,SP,21.623,1.591
181,2017,8,SP,21.119,2.028
182,2017,9,SP,22.614,1.246
183,2017,10,SP,23.507,1.16
184,2017,11,SP,23.648,1.145
185,2017,12,SP,25.246,0.621
186,2018,1,SP,27.955,1.222
187,2018,2,SP,27.922,1.301
188,2018,3,SP,27.926,1.577
189,2018,4,SP,26.412,1.458
190,2018,5,SP,24.298,1.417
191,2018,6,SP,22.207,1.489
192,2018,7,SP,20.841,1.681
193,2018,8,SP,19.93,1.577
194,2018,9,SP,22.497,1.077
195,2018,10,SP,22.815,0.886
196,2018,11,SP,23.459,1.051
197,2018,12,SP,26.935,1.005
198,2019,1,SP,29.976,1.251
199,2019,2,SP,29.365,1.861
200,2019,3,SP,28.399,2.107
201,2019,4,SP,26.598,1.964
202,2019,5,SP,25.473,1.886
203,2019,6,SP,23.847,4.208
204,2019,7,SP,22.181,2.325
205,2019,8,SP,21.241,1.793
206,2019,9,SP,21.674,1.838
207,2019,10,SP,24.392,1.248
208,2019,11,SP,23.426,0.938
209,2019,12,SP,25.233,0.854
210,2020,1,SP,26.808,0.771
211,2020,2,SP,26.675,0.95
212,2020,3,SP,26.498,1.456
213,2020,4,SP,25.184,1.141
214,2020,5,SP,23.861,1.399
215,2020,6,SP,22.971,1.458
216,2020,7,SP,22.229,1.82
217,2020,8,SP,22.078,1.404
218,2020,9,SP,22.933,1.148
219,2020,10,SP,23.983,0.987
220,2020,11,SP,25.294,0.797
221,2020,12,SP,26.928,0.663
222,2021,1,SP,27.805,1.067
223,2021,2,SP,28.649,1.285
224,2021,3,SP,27.926,2.015
225,2021,4,SP,25.867,1.349
226,2021,5,SP,23.882,1.587
227,2021,6,SP,22.266,1.49
228,2021,7,SP,20.843,1.621
229,2021,8,SP,21.029,1.612
230,2021,9,SP,21.901,0.703
231,2021,10,SP,21.467,1.275
232,2021,11,SP,22.818,1.256
233,2021,12,SP,25.245,0.869
234,2022,1,SP,27.586,1.075
235,2022,2,SP,27.444,0.981
236,2022,3,SP,27.71,1.487
237,2022,4,SP,25.39,2.331
238,2022,5,SP,23.569,1.82
239,2022,6,SP,21.001,2.364
240,2022,7,SP,21.117,1.429
241,2022,8,SP,20.729,2.201
242,2022,9,SP,21.028,1.188
243,2022,10,SP,22.88,1.206
244,2022,11,SP,24.271,1.132
245,2022,12,SP,25.189,1.053
246,2023,1,SP,27.024,0.814
247,2023,2,SP,27.529,1.289
248,2023,3,SP,27.553,1.445
249,2023,4,SP,25.455,1.67
250,2023,5,SP,24.402,1.463
251,2023,6,SP,23.223,1.759
252,2023,7,SP,22.287,1.422
253,2023,8,SP,22.673,1.506
254,2023,9,SP,23.888,1.128
255,2002,7,PR,18.818,1.988
256,2002,8,PR,19.847,2.456
257,2002,9,PR,20.445,1.926
258,2002,10,PR,23.478,3.845
259,2002,11,PR,24.531,1.347
260,2002,12,PR,26.14,1.468
261,2003,1,PR,28.104,1.145
262,2003,2,PR,29.305,3.33
263,2003,3,PR,27.368,2.188
264,2003,4,PR,25.29,2.041
265,2003,5,PR,22.641,2.095
266,2003,6,PR,21.285,2.224
267,2003,7,PR,20.056,2.545
268,2003,8,PR,19.891,2.061
269,2003,9,PR,20.561,1.894
270,2003,10,PR,22.424,1.34
271,2003,11,PR,23.877,1.553
272,2003,12,PR,25.271,0.95
273,2004,1,PR,26.741,2.25
274,2004,2,PR,27.057,2.343
275,2004,3,PR,26.442,2.649
276,2004,4,PR,25.398,3.109
277,2004,5,PR,22.284,2.494
278,2004,6,PR,20.328,2.377
279,2004,7,PR,19.158,2.268
280,2004,8,PR,20.198,2.187
281,2004,9,PR,21.326,1.731
282,2004,10,PR,21.49,1.765
283,2004,11,PR,23.658,1.137
284,2004,12,PR,25.166,2.002
285,2005,1,PR,26.893,1.213
286,2005,2,PR,27.053,2.177
287,2005,3,PR,27.354,1.921
288,2005,4,PR,26.221,2.5
289,2005,5,PR,23.864,1.907
290,2005,6,PR,23.265,2.318
291,2005,7,PR,20.866,1.989
292,2005,8,PR,20.71,2.669
293,2005,9,PR,19.202,2.599
294,2005,10,PR,20.628,0.704
295,2005,11,PR,23.823,2.142
296,2005,12,PR,24.851,1.31
297,2006,1,PR,28.11,1.809
298,2006,2,PR,27.727,2.802
299,2006,3,PR,27.701,2.207
300,2006,4,PR,25.531,2.385
301,2006,5,PR,22.509,1.888
302,2006,6,PR,21.345,2.192
303,2006,7,PR,21.216,1.971
304,2006,8,PR,20.598,1.913
305,2006,9,PR,20.539,1.714
306,2006,10,PR,22.131,1.411
307,2006,11,PR,23.819,1.599
308,2006,12,PR,26.089,1.59
309,2007,1,PR,26.509,2.032
310,2007,2,PR,27.988,2.062
311,2007,3,PR,28.829,2.426
312,2007,4,PR,26.004,1.643
313,2007,5,PR,22.821,2.624
314,2007,6,PR,20.015,2.978
315,2007,7,PR,17.636,4.402
316,2007,8,PR,17.459,3.22
317,2007,9,PR,20.958,1.837
318,2007,10,PR,23.127,1.81
319,2007,11,PR,24.343,1.962
320,2007,12,PR,26.714,1.982
321,2008,1,PR,26.922,1.731
322,2008,2,PR,27.618,3.637
323,2008,3,PR,26.878,3.332
324,2008,4,PR,23.216,2.643
325,2008,5,PR,22.279,3.098
326,2008,6,PR,20.489,2.142
327,2008,7,PR,20.342,1.844
328,2008,8,PR,20.598,2.545
329,2008,9,PR,20.403,1.487
330,2008,10,PR,21.711,0.963
331,2008,11,PR,23.826,2.365
332,2008,12,PR,25.185,2.266
333,2009,1,PR,26.093,2.137
334,2009,2,PR,27.762,2.8
335,2009,3,PR,27.901,3.98
336,2009,4,PR,25.781,2.479
337,2009,5,PR,23.581,1.827
338,2009,6,PR,20.58,1.693
339,2009,7,PR,19.432,2.205
340,2009,8,PR,19.977,3.273
341,2009,9,PR,20.506,3.992
342,2009,10,PR,22.089,2.374
343,2009,11,PR,25.088,1.112
344,2009,12,PR,26.98,0.968
345,2010,1,PR,27.692,1.616
346,2010,2,PR,29.317,2.275
347,2010,3,PR,26.55,3.515
348,2010,4,PR,24.999,3.396
349,2010,5,PR,22.366,3.234
350,2010,6,PR,20.649,3.175
351,2010,7,PR,20.319,2.281
352,2010,8,PR,18.574,2.547
353,2010,9,PR,19.941,1.225
354,2010,10,PR,21.625,1.343
355,2010,11,PR,23.608,1.516
356,2010,12,PR,25.218,1.562
357,2011,1,PR,28.135,1.703
358,2011,2,PR,28.544,3.461
359,2011,3,PR,25.809,3.093
360,2011,4,PR,24.513,2.108
361,2011,5,PR,22.431,1.752
362,2011,6,PR,20.372,1.839
363,2011,7,PR,18.856,2.943
364,2011,8,PR,19.192,4.063
365,2011,9,PR,20.405,3.558
366,2011,10,PR,22.625,1.838
367,2011,11,PR,23.174,1.621
368,2011,12,PR,25.537,1.227
369,2012,1,PR,26.643,1.942
370,2012,2,PR,28.061,1.556
371,2012,3,PR,26.105,1.777
372,2012,4,PR,24.599,1.66
373,2012,5,PR,23.001,2.971
374,2012,6,PR,20.992,4.303
375,2012,7,PR,20.038,2.795
376,2012,8,PR,20.407,2.689
377,2012,9,PR,21.289,1.629
378,2012,10,PR,22.906,1.556
379,2012,11,PR,24.884,1.426
380,2012,12,PR,27.193,1.847
381,2013,1,PR,26.482,1.414
382,2013,2,PR,27.652,2.195
383,2013,3,PR,26.066,3.039
384,2013,4,PR,25.009,2.374
385,2013,5,PR,23.554,2.282
386,2013,6,PR,20.582,2.286
387,2013,7,PR,18.447,3.862
388,2013,8,PR,18.068,2.585
389,2013,9,PR,20.124,2.526
390,2013,10,PR,22.043,1.527
391,2013,11,PR,23.692,1.543
392,2013,12,PR,26.584,1.862
393,2014,1,PR,28.894,1.708
394,2014,2,PR,28.935,1.93
395,2014,3,PR,26.983,2.649
396,2014,4,PR,25.255,2.653
397,2014,5,PR,23.151,2.038
398,2014,6,PR,21.174,3.792
399,2014,7,PR,20.27,1.984
400,2014,8,PR,20.809,1.711
401,2014,9,PR,21.579,1.502
402,2014,10,PR,23.215,2.088
403,2014,11,PR,24.903,1.013
404,2014,12,PR,26.365,0.743
405,2015,1,PR,28.305,1.748
406,2015,2,PR,29.023,2.988
407,2015,3,PR,27.471,3.235
408,2015,4,PR,25.344,2.039
409,2015,5,PR,23.258,2.472
410,2015,6,PR,21.968,4.291
411,2015,7,PR,20.209,2.767
412,2015,8,PR,21.775,1.904
413,2015,9,PR,22.263,1.435
414,2015,10,PR,21.069,1.922
415,2015,11,PR,24.738,2.063
416,2015,12,PR,25.729,1.008
417,2016,1,PR,27.252,3.052
418,2016,2,PR,28.389,2.061
419,2016,3,PR,27.278,2.587
420,2016,4,PR,27.526,2.413
421,2016,5,PR,20.572,2.516
422,2016,6,PR,17.431,6.262
423,2016,7,PR,18.425,7.038
424,2016,8,PR,19.298,4.195
425,2016,9,PR,21.084,2.793
426,2016,10,PR,22.004,2.779
427,2016,11,PR,23.867,1.938
428,2016,12,PR,25.584,2.209
429,2017,1,PR,28.239,0.866
430,2017,2,PR,29.214,2.961
431,2017,3,PR,26.197,1.403
432,2017,4,PR,25.071,1.955
433,2017,5,PR,23.44,2.278
434,2017,6,PR,21.561,3.745
435,2017,7,PR,20.807,2.409
436,2017,8,PR,20.967,2.354
437,2017,9,PR,22.902,1.845
438,2017,10,PR,23.532,2.677
439,2017,11,PR,24.315,1.055
440,2017,12,PR,26.187,0.939
441,2018,1,PR,27.345,2.415
442,2018,2,PR,28.077,1.906
443,2018,3,PR,27.103,1.87
444,2018,4,PR,26.648,3.03
445,2018,5,PR,24.744,2.829
446,2018,6,PR,20.668,2.065
447,2018,7,PR,18.685,2.97
448,2018,8,PR,19.008,2.046
449,2018,9,PR,22.278,1.829
450,2018,10,PR,22.604,1.615
451,2018,11,PR,24.374,0.827
452,2018,12,PR,27.563,1.284
453,2019,1,PR,29.515,1.529
454,2019,2,PR,28.971,2.715
455,2019,3,PR,27.338,2.737
456,2019,4,PR,25.726,2.494
457,2019,5,PR,23.995,2.478
458,2019,6,PR,22.902,5.168
459,2019,7,PR,20.586,2.665
460,2019,8,PR,19.702,1.91
461,2019,9,PR,20.348,1.871
462,2019,10,PR,23.417,2.083
463,2019,11,PR,24.471,1.882
464,2019,12,PR,25.87,1.266
465,2020,1,PR,27.169,1.101
466,2020,2,PR,27.461,1.584
467,2020,3,PR,27.314,2.27
468,2020,4,PR,25.093,1.875
469,2020,5,PR,23.331,1.957
470,2020,6,PR,21.536,2.956
471,2020,7,PR,20.5,1.745
472,2020,8,PR,20.29,3.033
473,2020,9,PR,21.188,1.222
474,2020,10,PR,23.178,1.574
475,2020,11,PR,24.439,1.317
476,2020,12,PR,26.78,2.312
477,2021,1,PR,27.687,1.716
478,2021,2,PR,28.623,3.004
479,2021,3,PR,27.556,3.551
480,2021,4,PR,25.542,2.254
481,2021,5,PR,23.157,2.28
482,2021,6,PR,21.215,2.127
483,2021,7,PR,19.509,2.437
484,2021,8,PR,19.541,1.844
485,2021,9,PR,20.923,1.661
486,2021,10,PR,21.459,1.719
487,2021,11,PR,23.913,1.802
488,2021,12,PR,25.847,1.18
489,2022,1,PR,27.568,2.547
490,2022,2,PR,28.091,2.24
491,2022,3,PR,27.392,2.141
492,2022,4,PR,24.555,2.833
493,2022,5,PR,22.431,3.007
494,2022,6,PR,19.404,5.071
495,2022,7,PR,19.555,2.908
496,2022,8,PR,19.695,3.164
497,2022,9,PR,20.228,2.2
498,2022,10,PR,21.733,2.141
499,2022,11,PR,23.735,2.73
500,2022,12,PR,26.14,3.212
501,2023,1,PR,27.389,2.329
502,2023,2,PR,28.123,2.687
503,2023,3,PR,27.919,4.174
504,2023,4,PR,25.129,2.658
505,2023,5,PR,23.878,2.905
506,2023,6,PR,22.393,2.812
507,2023,7,PR,20.971,2.414
508,2023,8,PR,21.084,2.36
509,2023,9,PR,21.972,2.878
510,2002,7,SC,17.174,3.393
511,2002,8,SC,18.143,3.189
512,2002,9,SC,18.834,2.518
513,2002,10,SC,21.303,1.48
514,2002,11,SC,22.497,1.681
515,2002,12,SC,23.786,1.255
516,2003,1,SC,25.438,0.802
517,2003,2,SC,27.131,1.409
518,2003,3,SC,26.203,1.437
519,2003,4,SC,23.665,1.797
520,2003,5,SC,21.029,2.236
521,2003,6,SC,19.037,3.142
522,2003,7,SC,18.27,3.479
523,2003,8,SC,17.463,2.978
524,2003,9,SC,18.358,2.147
525,2003,10,SC,20.583,1.432
526,2003,11,SC,22.469,1.074
527,2003,12,SC,23.312,0.955
528,2004,1,SC,24.399,1.198
529,2004,2,SC,24.959,1.276
530,2004,3,SC,24.871,1.191
531,2004,4,SC,23.196,1.667
532,2004,5,SC,20.814,2.536
533,2004,6,SC,19.387,2.179
534,2004,7,SC,17.678,2.025
535,2004,8,SC,18.584,1.5
536,2004,9,SC,19.401,1.594
537,2004,10,SC,20.246,1.684
538,2004,11,SC,21.791,1.174
539,2004,12,SC,22.997,1.082
540,2005,1,SC,24.807,1.138
541,2005,2,SC,24.706,1.123
542,2005,3,SC,25.133,1.241
543,2005,4,SC,24.381,1.511
544,2005,5,SC,22.29,2.077
545,2005,6,SC,21.542,1.875
546,2005,7,SC,18.595,2.337
547,2005,8,SC,18.26,2.78
548,2005,9,SC,18.131,2.32
549,2005,10,SC,20.248,1.258
550,2005,11,SC,22.24,1.897
551,2005,12,SC,23.436,1.028
552,2006,1,SC,25.617,1.854
553,2006,2,SC,26.457,1.449
554,2006,3,SC,26.242,1.09
555,2006,4,SC,24.113,1.627
556,2006,5,SC,20.331,1.782
557,2006,6,SC,19.352,2.03
558,2006,7,SC,19.493,2.176
559,2006,8,SC,17.981,2.588
560,2006,9,SC,17.364,1.78
561,2006,10,SC,20.237,1.423
562,2006,11,SC,21.717,1.743
563,2006,12,SC,23.345,1.649
564,2007,1,SC,24.427,0.874
565,2007,2,SC,25.425,0.952
566,2007,3,SC,26.11,1.545
567,2007,4,SC,24.645,1.567
568,2007,5,SC,21.373,2.366
569,2007,6,SC,17.296,4.39
570,2007,7,SC,15.239,6.325
571,2007,8,SC,16.155,4.227
572,2007,9,SC,19.634,2.876
573,2007,10,SC,20.899,1.701
574,2007,11,SC,22.376,1.546
575,2007,12,SC,24.46,0.992
576,2008,1,SC,24.919,0.898
577,2008,2,SC,25.13,2.591
578,2008,3,SC,24.627,2.123
579,2008,4,SC,22.414,2.27
580,2008,5,SC,20.862,2.524
581,2008,6,SC,18.29,2.488
582,2008,7,SC,18.673,2.045
583,2008,8,SC,18.316,1.892
584,2008,9,SC,18.536,1.917
585,2008,10,SC,20.196,1.494
586,2008,11,SC,21.99,1.804
587,2008,12,SC,22.891,1.614
588,2009,1,SC,24.219,2.29
589,2009,2,SC,24.893,1.871
590,2009,3,SC,25.361,1.65
591,2009,4,SC,24.146,1.895
592,2009,5,SC,22.209,1.849
593,2009,6,SC,19.126,2.261
594,2009,7,SC,17.396,2.207
595,2009,8,SC,17.817,2.385
596,2009,9,SC,19.162,1.603
597,2009,10,SC,20.264,2.195
598,2009,11,SC,23.154,1.33
599,2009,12,SC,24.392,1.244
600,2010,1,SC,25.899,1.187
601,2010,2,SC,27.014,1.707
602,2010,3,SC,25.535,2.067
603,2010,4,SC,23.688,2.664
604,2010,5,SC,21.325,2.19
605,2010,6,SC,19.529,2.487
606,2010,7,SC,18.09,2.146
607,2010,8,SC,16.716,2.451
608,2010,9,SC,18.929,1.818
609,2010,10,SC,20.525,1.339
610,2010,11,SC,21.965,1.216
611,2010,12,SC,23.901,1.232
612,2011,1,SC,26.124,1.349
613,2011,2,SC,25.854,1.562
614,2011,3,SC,23.63,1.973
615,2011,4,SC,23.209,1.451
616,2011,5,SC,21.301,1.774
617,2011,6,SC,18.929,2.071
618,2011,7,SC,16.332,3.902
619,2011,8,SC,17.054,3.363
620,2011,9,SC,18.483,2.5
621,2011,10,SC,20.248,1.976
622,2011,11,SC,21.218,1.451
623,2011,12,SC,23.344,1.064
624,2012,1,SC,24.482,1.697
625,2012,2,SC,24.508,1.688
626,2012,3,SC,24.44,1.689
627,2012,4,SC,23.266,1.313
628,2012,5,SC,21.631,1.841
629,2012,6,SC,19.56,2.801
630,2012,7,SC,17.24,3.064
631,2012,8,SC,18.573,3.084
632,2012,9,SC,19.686,2.379
633,2012,10,SC,20.838,1.973
634,2012,11,SC,22.743,1.568
635,2012,12,SC,24.392,0.965
636,2013,1,SC,24.9,1.03
637,2013,2,SC,25.929,1.537
638,2013,3,SC,24.737,2.024
639,2013,4,SC,23.34,1.676
640,2013,5,SC,21.376,2.173
641,2013,6,SC,18.62,2.489
642,2013,7,SC,16.947,3.933
643,2013,8,SC,16.266,3.83
644,2013,9,SC,18.654,3.332
645,2013,10,SC,20.937,1.907
646,2013,11,SC,21.294,1.703
647,2013,12,SC,24.692,1.073
648,2014,1,SC,26.153,1.409
649,2014,2,SC,26.183,1.474
650,2014,3,SC,25.26,1.702
651,2014,4,SC,23.534,1.403
652,2014,5,SC,21.594,1.997
653,2014,6,SC,19.328,2.863
654,2014,7,SC,18.79,2.687
655,2014,8,SC,18.484,2.591
656,2014,9,SC,19.672,2.157
657,2014,10,SC,20.903,2.185
658,2014,11,SC,22.813,1.252
659,2014,12,SC,24.128,1.41
660,2015,1,SC,27.336,1.256
661,2015,2,SC,26.716,1.942
662,2015,3,SC,25.498,1.611
663,2015,4,SC,23.466,1.591
664,2015,5,SC,21.807,2.183
665,2015,6,SC,19.979,3.299
666,2015,7,SC,18.348,3.128
667,2015,8,SC,19.849,2.173
668,2015,9,SC,19.186,2.591
669,2015,10,SC,18.879,1.052
670,2015,11,SC,21.699,1.418
671,2015,12,SC,23.637,0.777
672,2016,1,SC,25.454,2.13
673,2016,2,SC,26.298,1.44
674,2016,3,SC,25.665,2.131
675,2016,4,SC,24.64,2.294
676,2016,5,SC,18.658,3.958
677,2016,6,SC,16.049,6.941
678,2016,7,SC,16.96,5.912
679,2016,8,SC,17.361,4.829
680,2016,9,SC,17.985,3.658
681,2016,10,SC,20.83,2.113
682,2016,11,SC,22.504,1.703
683,2016,12,SC,23.996,1.235
684,2017,1,SC,27.074,1.071
685,2017,2,SC,27.145,1.672
686,2017,3,SC,25.568,1.469
687,2017,4,SC,23.36,1.729
688,2017,5,SC,21.501,1.651
689,2017,6,SC,19.805,3.184
690,2017,7,SC,19.325,2.1
691,2017,8,SC,19.467,2.131
692,2017,9,SC,20.184,2.135
693,2017,10,SC,20.912,1.343
694,2017,11,SC,22.164,1.517
695,2017,12,SC,24.08,1.173
696,2018,1,SC,25.294,1.399
697,2018,2,SC,25.665,0.925
698,2018,3,SC,25.556,1.377
699,2018,4,SC,25.259,1.798
700,2018,5,SC,22.917,1.771
701,2018,6,SC,18.575,3.015
702,2018,7,SC,16.91,5.174
703,2018,8,SC,17.187,2.819
704,2018,9,SC,20.221,2.001
705,2018,10,SC,21.69,1.559
706,2018,11,SC,22.415,1.709
707,2018,12,SC,24.716,1.091
708,2019,1,SC,26.839,1.072
709,2019,2,SC,26.961,1.23
710,2019,3,SC,26.154,1.632
711,2019,4,SC,24.458,1.817
712,2019,5,SC,22.692,1.796
713,2019,6,SC,21.14,3.428
714,2019,7,SC,17.947,3.286
715,2019,8,SC,17.301,3.323
716,2019,9,SC,18.898,2.244
717,2019,10,SC,21.504,1.759
718,2019,11,SC,22.026,2.25
719,2019,12,SC,23.622,1.568
720,2020,1,SC,25.494,1.134
721,2020,2,SC,25.394,1.399
722,2020,3,SC,25.105,1.582
723,2020,4,SC,23.136,1.795
724,2020,5,SC,21.412,2.03
725,2020,6,SC,19.626,2.601
726,2020,7,SC,17.901,3.009
727,2020,8,SC,17.907,2.084
728,2020,9,SC,19.425,2.062
729,2020,10,SC,21.233,1.377
730,2020,11,SC,22.883,0.973
731,2020,12,SC,24.551,1.218
732,2021,1,SC,25.527,1.067
733,2021,2,SC,26.552,1.631
734,2021,3,SC,25.99,1.534
735,2021,4,SC,24.319,1.56
736,2021,5,SC,21.65,2.09
737,2021,6,SC,18.993,2.424
738,2021,7,SC,17.546,2.969
739,2021,8,SC,17.39,2.168
740,2021,9,SC,19.455,1.405
741,2021,10,SC,20.47,1.555
742,2021,11,SC,21.837,1.732
743,2021,12,SC,23.755,1.073
744,2022,1,SC,24.665,1.611
745,2022,2,SC,25.569,1.539
746,2022,3,SC,25.988,1.832
747,2022,4,SC,23.341,2.126
748,2022,5,SC,20.818,3.121
749,2022,6,SC,17.429,4.182
750,2022,7,SC,17.89,3.343
751,2022,8,SC,18.224,3.086
752,2022,9,SC,18.447,2.799
753,2022,10,SC,20.483,1.877
754,2022,11,SC,21.998,1.601
755,2022,12,SC,23.989,2.067
756,2023,1,SC,25.575,1.633
757,2023,2,SC,26.508,1.758
758,2023,3,SC,25.951,2.036
759,2023,4,SC,23.876,1.843
760,2023,5,SC,22.89,2.251
761,2023,6,SC,20.848,2.817
762,2023,7,SC,19.252,2.899
763,2023,8,SC,18.343,2.02
764,2023,9,SC,19.498,1.877
765,2002,7,APA,17.108,3.789
766,2002,8,APA,18.071,3.106
767,2002,9,APA,18.836,2.075
768,2002,10,APA,20.898,1.021
769,2002,11,APA,22.163,1.419
770,2002,12,APA,23.574,1.362
771,2003,1,APA,25.207,0.593
772,2003,2,APA,26.412,1.016
773,2003,3,APA,26.104,1.136
774,2003,4,APA,23.604,1.774
